"Arquivo";"TM";"Cliente";"Data";"Tipo";"ValorTotal";"Observacao"
"proposta-assessoria-sst-tecnal-unidades-tm0119-tm0121.html";"TM0119 + TM0121";"TECNAL — Tecnologia Ambiental em Aterros Sanitários LTDA";"03/08/2026";"Assessoria SST";"8.378,75";"Mensalidade total R$/mês (Unid. S.G. Amarante R$ 3.467,50 + Unid. Açu R$ 4.911,25)"
"proposta-psicossocial-mb-limpeza-urbana.html";"TM122";"MB Limpeza Urbana (Matriz + 13 Filiais)";"04/08/2026";"Riscos Psicossociais";"110.646,00";"Valor único global — 14 CNPJs + Canal de Denúncia (R$ 2.380,00 incluso)"
